#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
360 -4593.98 3170.995 18615.06 16.6924 145.3846
361 -4878.58 2712.808 18615.06 16.6924 150.9231
362 -5117.63 2229.293 18615.06 16.6924 156.4616
363 -5308.89 1724.964 18615.06 16.6924 162
364 -5450.59 1204.529 18615.06 16.6924 167.5385
365 -5541.4 672.8478 18615.06 16.6924 173.0769
366 -5580.47 134.8846 18615.06 16.6924 178.6154
367 -6073.59 -453.222 18454.98 18.2638 -175.7324
368 -6009.77 -988.233 18454.98 18.2638 -170.662
369 -5741.89 -2030.93 18454.98 18.2638 -160.5211
370 -5539.92 -2530.45 18454.98 18.2638 -155.4507
371 -5007.85 -3466.32 18454.98 18.2638 -145.3099
372 -4681.9 -3895.35 18454.98 18.2638 -140.2395
373 -4319.3 -4293.89 18454.98 18.2638 -135.169
374 -3495.81 -4987.31 18454.98 18.2638 -125.0282
375 -3041.35 -5276.75 18454.98 18.2638 -119.9578
376 -2064.77 -5729.8 18454.98 18.2638 -109.817
377 -1550.29 -5889.87 18454.98 18.2638 -104.7465
378 -1023.67 -6003.83 18454.98 18.2638 -99.676
379 49.4058 -6090.28 18454.98 18.2638 -89.5352
380 587.4717 -6062.08 18454.98 18.2638 -84.4648
381 1645.635 -5863.94 18454.98 18.2638 -74.3239
382 2157.451 -5695.55 18454.98 18.2638 -69.2535
383 2652.382 -5482.59 18454.98 18.2638 -64.1831
384 3576.258 -4929.94 18454.98 18.2638 -54.0423
385 3997.971 -4594.58 18454.98 18.2638 -48.9719
386 4744.475 -3818.88 18454.98 18.2638 -38.831
387 5063.423 -3384.62 18454.98 18.2638 -33.7606
388 5342.742 -2923.87 18454.98 18.2638 -28.6901
389 5774.079 -1937.51 18454.98 18.2638 -18.5493
390 5922.72 -1419.61 18454.98 18.2638 -13.4789
391 6080.144 -354.628 18454.98 18.2638 -3.338
392 6087.693 184.123 18454.98 18.2638 1.7324
393 6047.598 721.4335 18454.98 18.2638 6.8028
394 5826.1 1774.955 18454.98 18.2638 16.9437
395 5646.431 2282.92 18454.98 18.2638 22.0141
396 5422.571 2773.019 18454.98 18.2638 27.0845
397 4849.617 3684.443 18454.98 18.2638 37.2254
398 4505.009 4098.634 18454.98 18.2638 42.2958
399 3712.99 4827.796 18454.98 18.2638 52.4366
400 3271.779 5137.058 18454.98 18.2638 57.507
401 2804.962 5406.116 18454.98 18.2638 62.5775
402 1809.296 5815.527 18454.98 18.2638 72.7183
403 1288.239 5952.676 18454.98 18.2638 77.7887
404 220.0356 6086.501 18454.98 18.2638 87.9296
405 -318.751 6082.13 18454.98 18.2638 93
406 -855.043 6030.159 18454.98 18.2638 98.0704
407 -1903.41 5785.409 18454.98 18.2638 108.2113
408 -2407.27 5594.546 18454.98 18.2638 113.2817
409 -3354.69 5083.303 18454.98 18.2638 123.4225
410 -3790.83 4766.923 18454.98 18.2638 128.493
411 -4197.29 4413.236 18454.98 18.2638 133.5634
412 -4908.75 3605.28 18454.98 18.2638 143.7042
413 -5208.18 3157.336 18454.98 18.2638 148.7747
414 -5682.72 2191.016 18454.98 18.2638 158.9155
415 -5854.13 1680.202 18454.98 18.2638 163.9859
416 -5979.72 1156.238 18454.98 18.2638 169.0563
417 -6089.88 85.336 18454.98 18.2638 179.1972
418 -6517.21 -197.114 18307.58 19.6032 -178.2676
419 -6474.28 -772.334 18307.58 19.6032 -173.1972
420 -6380.69 -1341.51 18307.58 19.6032 -168.1268
421 -6237.16 -1900.19 18307.58 19.6032 -163.0563
422 -6044.81 -2443.99 18307.58 19.6032 -157.9859
423 -5805.16 -2968.67 18307.58 19.6032 -152.9155
424 -5520.07 -3470.11 18307.58 19.6032 -147.8451
425 -5191.78 -3944.4 18307.58 19.6032 -142.7746
426 -4822.86 -4387.81 18307.58 19.6032 -137.7043
427 -4416.19 -4796.89 18307.58 19.6032 -132.6338
428 -3974.96 -5168.42 18307.58 19.6032 -127.5634
429 -3502.62 -5499.5 18307.58 19.6032 -122.493
430 -3002.87 -5787.54 18307.58 19.6032 -117.4226
431 -2479.61 -6030.29 18307.58 19.6032 -112.3521
432 -1936.95 -6225.84 18307.58 19.6032 -107.2817
433 -1379.13 -6372.66 18307.58 19.6032 -102.2113
434 -810.517 -6469.61 18307.58 19.6032 -97.1408
435 -235.56 -6515.93 18307.58 19.6032 -92.0704
436 341.24 -6511.25 18307.58 19.6032 -87
437 915.3698 -6455.61 18307.58 19.6032 -81.9296
438 1482.335 -6349.45 18307.58 19.6032 -76.8592
439 2037.7 -6193.6 18307.58 19.6032 -71.7887
440 2577.117 -5989.27 18307.58 19.6032 -66.7183
441 3096.364 -5738.06 18307.58 19.6032 -61.6479
442 3591.378 -5441.95 18307.58 19.6032 -56.5775
443 4058.285 -5103.25 18307.58 19.6032 -51.507
444 4493.43 -4724.61 18307.58 19.6032 -46.4366
445 4893.408 -4308.99 18307.58 19.6032 -41.3662
446 5255.089 -3859.65 18307.58 19.6032 -36.2958
447 5575.641 -3380.1 18307.58 19.6032 -31.2253
448 5852.556 -2874.1 18307.58 19.6032 -26.1549
449 6083.667 -2345.6 18307.58 19.6032 -21.0845
450 6267.165 -1798.75 18307.58 19.6032 -16.0141
451 6401.614 -1237.82 18307.58 19.6032 -10.9437
452 6485.962 -667.197 18307.58 19.6032 -5.8732
453 6519.548 -91.3571 18307.58 19.6032 -0.8028
454 6502.11 485.199 18307.58 19.6032 4.2676
455 6433.784 1057.957 18307.58 19.6032 9.338
456 6315.105 1622.436 18307.58 19.6032 14.4084
457 6147.002 2174.216 18307.58 19.6032 19.4789
458 5930.79 2708.981 18307.58 19.6032 24.5493
459 5668.162 3222.544 18307.58 19.6032 29.6197
460 5361.172 3710.886 18307.58 19.6032 34.6901
461 5012.225 4170.186 18307.58 19.6032 39.7606
462 4624.049 4596.848 18307.58 19.6032 44.831
463 4199.684 4987.534 18307.58 19.6032 49.9014
464 3742.451 5339.186 18307.58 19.6032 54.9718
465 3255.929 5649.051 18307.58 19.6032 60.0423
466 2743.924 5914.704 18307.58 19.6032 65.1127
467 2210.444 6134.067 18307.58 19.6032 70.1831
468 1659.665 6305.423 18307.58 19.6032 75.2535
469 1095.896 6427.43 18307.58 19.6032 80.3239
470 523.5506 6499.134 18307.58 19.6032 85.3944
