PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
163 HighQENNVT 3330.3188 -2275.2341 19010.8559 11.9782 -34.3404 327234048 0.26701 0.984845 12.6571 19818.5 1.08796
164 HighQENNVT 3635.57 -1746.5236 19010.8559 11.9782 -25.6596 327238144 0.239646 0.957353 9.60107 18013.2 1.10281
165 HighQENNVT 3835.9204 -1246.3661 19010.8559 11.9782 -18.0 327242240 0.238172 0.953417 10.5321 18613.3 1.11338
166 HighQENNVT 3967.8187 -723.9671 19010.8559 11.9782 -10.3404 327246336 0.238268 0.973824 10.0411 16008.0 1.11391
167 HighQENNVT 4031.6336 -116.8092 19010.8559 11.9782 -1.6596 327250432 0.233053 0.973482 4.76309 19290.6 1.11134
168 HighQENNVT 4011.2304 421.5973 19010.8559 11.9782 6.0 327254528 0.2599 0.951726 10.2741 18328.7 1.1162
169 HighQENNVT 3919.2467 952.4804 19010.8559 11.9782 13.6596 327258624 0.234338 0.962854 11.4341 19577.4 1.11213
170 HighQENNVT 3730.5911 1533.1026 19010.8559 11.9782 22.3404 327262720 0.254592 0.983828 13.0841 17552.3 1.11616
171 HighQENNVT 3492.9623 2016.6627 19010.8559 11.9782 30.0 327266816 0.269036 0.973047 16.1411 18686.5 1.0935
172 HighQENNVT 3193.0013 2464.2354 19010.8559 11.9782 37.6596 327270912 0.234171 0.966746 8.05508 17923.8 1.11425
173 HighQENNVT 2784.4955 2917.9271 19010.8559 11.9782 46.3404 327275008 0.261924 0.966753 12.4651 14092.4 1.11382
174 HighQENNVT 2370.7292 3263.0288 19010.8559 11.9782 54.0 327279104 0.248813 0.988171 13.5631 15620.6 1.13211
175 HighQENNVT 1914.657 3549.9017 19010.8559 11.9782 61.6596 327283200 0.235353 0.968787 14.9451 12206.7 1.09924
176 HighQENNVT 1356.9354 3798.2154 19010.8559 11.9782 70.3404 327287296 0.250073 0.972712 7.65408 19940.5 1.10908
177 HighQENNVT 838.5755 3945.1876 19010.8559 11.9782 78.0 327291392 0.247742 0.986522 12.4201 20852.9 1.11867
178 HighQENNVT 305.2511 4021.7578 19010.8559 11.9782 85.6596 327295488 0.234226 0.971389 13.2821 14268.0 1.09898
179 HighQENNVT -305.2512 4021.7578 19010.8559 11.9782 94.3404 327299584 0.216818 0.968987 7.73907 19317.7 1.11799
180 HighQENNVT -838.5755 3945.1876 19010.8559 11.9782 102.0 327303680 0.247523 0.959183 11.6811 20267.3 1.1005
181 HighQENNVT -1356.9355 3798.2154 19010.8559 11.9782 109.6596 327307776 0.234792 0.971981 7.76007 14061.5 1.09448
182 HighQENNVT -1914.6571 3549.9017 19010.8559 11.9782 118.3404 327311872 0.266997 0.970686 13.3151 19374.9 1.10144
183 HighQENNVT -2370.7292 3263.0288 19010.8559 11.9782 126.0 327315968 0.261972 0.941449 16.4191 17417.1 1.10585
